ticker,name,weight_percentage,raw_ticker
AZN.L,ASTRAZENECA PLC,8.67,AZN
HSBA.L,HSBC HOLDINGS PLC,7.92,HSBA
SHEL.L,SHELL PLC,6.87,SHEL
ULVR.L,UNILEVER PLC,4.53,ULVR
RR.L,ROLLS-ROYCE HOLDINGS PLC,3.72,RR.
BATS.L,BRITISH AMERICAN TOBACCO,3.69,BATS
GSK.L,GLAXOSMITHKLINE,3.08,GSK
BP.L,BP PLC,3.06,BP.
BARC.L,BARCLAYS PLC,2.58,BARC
LLOY.L,LLOYDS BANKING GROUP PLC,2.45,LLOY
NG.L,NATIONAL GRID PLC,2.39,NG.
RIO.L,RIO TINTO PLC,2.35,RIO
REL.L,RELX PLC,2.31,REL
NWG.L,NATWEST GROUP PLC,2.17,NWG
BA.L,BAE SYSTEMS PLC,2.05,BA.
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,1.85,LSEG
RKT.L,RECKITT BENCKISER GROUP PLC,1.71,RKT
CPG.L,COMPASS GROUP PLC,1.66,CPG
GLEN.L,GLENCORE PLC,1.62,GLEN
DGE.L,DIAGEO PLC,1.61,DGE
HLN.L,HALEON PLC,1.39,HLN
STAN.L,STANDARD CHARTERED PLC,1.32,STAN
AAL.L,ANGLO AMERICAN PLC,1.27,AAL
EXPN.L,EXPERIAN PLC,1.27,EXPN
TSCO.L,TESCO PLC,1.22,TSCO
III.L,3I GROUP PLC,1.19,III
PRU.L,PRUDENTIAL PLC,1.18,PRU
SSE.L,SSE PLC,1.12,SSE
IMB.L,IMPERIAL BRANDS PLC,1.04,IMB
AHT.L,ASHTEAD GROUP PLC,0.83,AHT
AV.L,AVIVA PLC,0.82,AV.
VOD.L,VODAFONE GROUP PLC,0.74,VOD
NXT.L,NEXT PLC,0.68,NXT
CCEP.L,COCA COLA EUROPACIFIC PARTNERS PLC,0.63,CCEP
IHG.L,INTERCONTINENTAL HOTELS GROUP PLC,0.62,IHG
LGEN.L,LEGAL AND GENERAL GROUP PLC,0.58,LGEN
HLMA.L,HALMA PLC,0.56,HLMA
IAG.L,INTERNATIONAL AIRLINES GROUP SA,0.56,IAG
INF.L,INFORMA PLC,0.51,INF
SMT,SCOTTISH MORTGAGE INVESTMENT TRUST,0.51,SMT
SN.L,SMITH AND NEPHEW PLC,0.46,SN.
ICSSAGD,BLK ICS GBP LIQ AGENCY DIS,0.44,ICSSAGD
RTO.L,RENTOKIL INITIAL PLC,0.44,RTO
SGE.L,THE SAGE GROUP PLC,0.43,SGE
BT-A.L,BT GROUP PLC,0.42,BT.A
SGRO.L,SEGRO REIT PLC,0.4,SGRO
ANTO.L,ANTOFAGASTA PLC,0.39,ANTO
UU.L,UNITED UTILITIES GROUP PLC,0.35,UU.
CNA.L,CENTRICA PLC,0.34,CNA
GBP,GBP CASH,0.34,GBP
SMIN.L,SMITHS GROUP PLC,0.34,SMIN
ADM.L,ADMIRAL GROUP PLC,0.33,ADM
CCH.L,COCA COLA HBC AG,0.32,CCH
SVT.L,SEVERN TRENT PLC,0.31,SVT
ITRK.L,INTERTEK GROUP PLC,0.31,ITRK
DPLM.L,DIPLOMA PLC,0.3,DPLM
WEIR.L,WEIR GROUP PLC,0.3,WEIR
MRO.L,MELROSE INDUSTRIES PLC,0.3,MRO
BNZL.L,BUNZL,0.3,BNZL
STJ.L,ST JAMESS PLACE PLC,0.29,STJ
MKS.L,MARKS AND SPENCER GROUP PLC,0.29,MKS
PSON.L,PEARSON PLC,0.27,PSON
EDV.L,ENDEAVOUR MINING,0.27,EDV
GAW.L,GAMES WORKSHOP GROUP PLC,0.27,GAW
PSH,PERSHING SQUARE HOLDINGS LTD,0.27,PSH
MNG.L,M&G PLC,0.27,MNG
ABF.L,ASSOCIATED BRITISH FOODS PLC,0.26,ABF
FCIT,F&C INVESTMENT TRUST PLC,0.25,FCIT
IMI.L,IMI PLC,0.25,IMI
SBRY.L,SAINSBURY(J) PLC,0.24,SBRY
BAB.L,BABCOCK INTERNATIONAL GROUP PLC,0.23,BAB
ICG.L,ICG PLC,0.23,ICG
KGF.L,KINGFISHER PLC,0.23,KGF
AUTO.L,AUTO TRADER GROUP PLC,0.23,AUTO
PCT.L,POLAR CAPITAL TECHNOLOGY TRUST PLC,0.22,PCT
BTRW.L,BARRATT REDROW PLC,0.22,BTRW
PHNX.L,PHOENIX GROUP HOLDINGS PLC,0.22,PHNX
FRES.L,FRESNILLO PLC,0.21,FRES
ALW,ALLIANCE WITAN PLC,0.21,ALW
DCC.L,DCC PLC,0.21,DCC
SPX.L,SPIRAX GROUP PLC,0.2,SPX
BEZ.L,BEAZLEY PLC,0.2,BEZ
ENT.L,ENTAIN PLC,0.2,ENT
LAND.L,LAND SECURITIES GROUP REIT PLC,0.19,LAND
HWDN.L,HOWDEN JOINERY GROUP PLC,0.19,HWDN
HSX.L,HISCOX LTD,0.19,HSX
PSN.L,PERSIMMON PLC,0.18,PSN
WTB.L,WHITBREAD PLC,0.18,WTB
CTEC.L,CONVATEC GROUP PLC,0.18,CTEC
MTLN.L,METLEN ENERGY & METALS PLC,0.18,MTLN
LMP.L,LONDONMETRIC PROPERTY REIT PLC,0.17,LMP
BRBY.L,BURBERRY GROUP PLC,0.17,BRBY
RMV.L,RIGHTMOVE PLC,0.17,RMV
USD,USD CASH,0.17,USD
MNDI.L,MONDI PLC,0.15,MNDI
CRDA.L,CRODA INTERNATIONAL PLC,0.15,CRDA
BKG.L,BERKELEY GROUP HOLDINGS (THE) PLC,0.14,BKG
EZJ.L,EASYJET PLC,0.13,EZJ
WPP.L,WPP PLC,0.13,WPP
SDR.L,SCHRODERS PLC,0.12,SDR
HIK.L,HIKMA PHARMACEUTICALS PLC,0.1,HIK
AAF.L,AIRTEL AFRICA PLC,0.09,AAF
JD.L,JD SPORTS FASHION PLC,0.08,JD.
BZFUT,CASH COLLATERAL GBP BZFUT,0.05,BZFUT
EUR,EUR CASH,0.02,EUR
