ticker,isin,name,weight_percentage,sector,country,currency
,US67066G1040,NVIDIA CORP,6.054675775661721,Informationstechnologie,USA,USD
,US02079K3059,ALPHABET INC CL A,4.654694427876127,Kommunikationsdienstleistungen,USA,USD
,US88160R1014,TESLA INC,4.372267939521462,Nicht-Basiskonsumgüter,USA,USD
,US11135F1012,BROADCOM INC,3.8974367793658335,Informationstechnologie,USA,USD
,US0231351067,AMAZON.COM INC,3.6874820091096674,Nicht-Basiskonsumgüter,USA,USD
,US0378331005,APPLE INC,3.1967478807060634,Informationstechnologie,USA,USD
,US91324P1021,UNITEDHEALTH GROUP INC,2.4407588877361412,Gesundheitswesen,USA,USD
,US30303M1027,META PLATFORMS INC-CLASS A,2.3949565526985737,Kommunikationsdienstleistungen,USA,USD
,US69608A1088,PALANTIR TECHNOLOGIES INC-A,2.374780411840394,Informationstechnologie,USA,USD
,US7134481081,PEPSICO INC,2.1037666928846526,Basiskonsumgüter,USA,USD
,US68389X1054,ORACLE CORP,1.954025106740863,Informationstechnologie,USA,USD
,US6558441084,NORFOLK SOUTHERN CORP,1.9375599416419413,Industrie,USA,USD
,US0326541051,ANALOG DEVICES INC,1.8431598285825777,Informationstechnologie,USA,USD
,US7427181091,PROCTER & GAMBLE CO/THE,1.7526383526216285,Basiskonsumgüter,USA,USD
,US1729674242,CITIGROUP INC,1.7334445837919976,Finanzdienstleistungen,USA,USD
,US1266501006,CVS HEALTH CORP,1.6440070739795463,Gesundheitswesen,USA,USD
,US3755581036,GILEAD SCIENCES INC,1.5972227572603723,Gesundheitswesen,USA,USD
,FR0000125486,VINCI SA (PARIS),1.3672420837565546,Industrie,Frankreich,EUR
,US2546871060,WALT DISNEY CO/THE,1.2766206616591655,Kommunikationsdienstleistungen,USA,USD
,FR0010307819,LEGRAND SA,1.260096450923154,Industrie,Frankreich,EUR
,US46625H1005,JPMORGAN CHASE & CO,1.2381947474332582,Finanzdienstleistungen,USA,USD
,US1273871087,CADENCE DESIGN SYS INC,1.224350923920977,Informationstechnologie,USA,USD
,US0079031078,ADVANCED MICRO DEVICES,1.2201221995709013,Informationstechnologie,USA,USD
,FR0000073272,SAFRAN SA,1.2053870954192294,Industrie,Frankreich,EUR
,US4370761029,HOME DEPOT INC,1.13939558886326,Nicht-Basiskonsumgüter,USA,USD
,US17275R1023,CISCO SYSTEMS INC,0.9318318381784825,Informationstechnologie,USA,USD
,IE00BDVJJQ56,NVENT ELECTRIC PLC-W/I,0.9250873471011836,Industrie,USA,USD
,US22160K1051,COSTCO WHOLESALE CORP,0.8679386509378847,Basiskonsumgüter,USA,USD
,US00287Y1091,ABBVIE INC,0.8518851326686031,Gesundheitswesen,USA,USD
,US9344231041,WARNER BROS DISCOVERY INC,0.8495968909142911,Kommunikationsdienstleistungen,USA,USD
,US46120E6023,INTUITIVE SURGICAL INC,0.7652540448477301,Gesundheitswesen,USA,USD
,US0533321024,AUTOZONE INC,0.7463263114479893,Nicht-Basiskonsumgüter,USA,USD
,US09857L1089,BOOKING HOLDINGS INC,0.7014731862680013,Nicht-Basiskonsumgüter,USA,USD
,US9113631090,UNITED RENTALS,0.6873702782991158,Industrie,USA,USD
,US2172041061,COPART INC,0.6771119446619994,Industrie,USA,USD
,US55261F1049,M & T BANK CORP,0.6736155165051158,Finanzdienstleistungen,USA,USD
,US3696043013,GENERAL ELECTRIC,0.659769937763835,Industrie,USA,USD
,US14149Y1082,CARDINAL HEALTH INC,0.6544222286148917,Gesundheitswesen,USA,USD
