ticker,name,weight_percentage,raw_ticker
NVDA,NVIDIA CORP,21.65,NVDA
AAPL,APPLE INC,21.02,AAPL
MSFT,MICROSOFT CORP,16.36,MSFT
AVGO,BROADCOM INC,9.07,AVGO
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,1.96,PLTR
AMD,ADVANCED MICRO DEVICES INC,1.76,AMD
ORCL,ORACLE CORP,1.69,ORCL
CSCO,CISCO SYSTEMS INC,1.54,CSCO
IBM,INTERNATIONAL BUSINESS MACHINES CO,1.42,IBM
MU,MICRON TECHNOLOGY INC,1.36,MU
CRM,SALESFORCE INC,1.14,CRM
AMAT,APPLIED MATERIAL INC,1.08,AMAT
LRCX,LAM RESEARCH CORP,1.01,LRCX
INTC,INTEL CORPORATION CORP,0.96,INTC
QCOM,QUALCOMM INC,0.93,QCOM
INTU,INTUIT INC,0.9,INTU
APP,APPLOVIN CORP CLASS A,0.89,APP
APH,AMPHENOL CORP CLASS A,0.87,APH
NOW,SERVICENOW INC,0.87,NOW
ACN,ACCENTURE PLC CLASS A,0.82,ACN
TXN,TEXAS INSTRUMENT INC,0.81,TXN
KLAC,KLA CORP,0.79,KLAC
ADBE,ADOBE INC,0.69,ADBE
ADI,ANALOG DEVICES INC,0.69,ADI
ANET,ARISTA NETWORKS INC,0.66,ANET
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,0.65,CRWD
PANW,PALO ALTO NETWORKS INC,0.64,PANW
CDNS,CADENCE DESIGN SYSTEMS INC,0.44,CDNS
SNPS,SYNOPSYS INC,0.42,SNPS
TEL,TE CONNECTIVITY PLC,0.34,TEL
ADSK,AUTODESK INC,0.34,ADSK
GLW,CORNING INC,0.33,GLW
MSI,MOTOROLA SOLUTIONS INC,0.32,MSI
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,0.29,STX
WDC,WESTERN DIGITAL CORP,0.28,WDC
NXPI,NXP SEMICONDUCTORS NV,0.27,NXPI
FTNT,FORTINET INC,0.27,FTNT
DDOG,DATADOG INC CLASS A,0.26,DDOG
ROP,ROPER TECHNOLOGIES INC,0.24,ROP
WDAY,WORKDAY INC CLASS A,0.23,WDAY
MPWR,MONOLITHIC POWER SYSTEMS INC,0.23,MPWR
FICO,FAIR ISAAC CORP,0.22,FICO
DELL,DELL TECHNOLOGIES INC CLASS C,0.21,DELL
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,0.19,CTSH
KEYS,KEYSIGHT TECHNOLOGIES INC,0.18,KEYS
SNDK,SANDISK CORP,0.16,SNDK
MCHP,MICROCHIP TECHNOLOGY INC,0.15,MCHP
TER,TERADYNE INC,0.15,TER
HPE,HEWLETT PACKARD ENTERPRISE,0.15,HPE
FSLR,FIRST SOLAR INC,0.14,FSLR
HPQ,HP INC,0.12,HPQ
TDY,TELEDYNE TECHNOLOGIES INC,0.12,TDY
NTAP,NETAPP INC,0.12,NTAP
JBL,JABIL INC,0.11,JBL
USD,USD CASH,0.11,USD
VRSN,VERISIGN INC,0.11,VRSN
ON,ON SEMICONDUCTOR CORP,0.11,ON
TRMB,TRIMBLE INC,0.1,TRMB
PTC,PTC INC,0.1,PTC
TYL,TYLER TECHNOLOGIES INC,0.1,TYL
CDW,CDW CORP,0.1,CDW
GDDY,GODADDY INC CLASS A,0.09,GDDY
IT,GARTNER INC,0.09,IT
Q,QNITY ELECTRONICS INC,0.08,Q
SMCI,SUPER MICRO COMPUTER INC,0.08,SMCI
GEN,GEN DIGITAL INC,0.07,GEN
FFIV,F5 INC,0.07,FFIV
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,0.07,ZBRA
AKAM,AKAMAI TECHNOLOGIES INC,0.06,AKAM
EPAM,EPAM SYSTEMS INC,0.05,EPAM
SWKS,SKYWORKS SOLUTIONS INC,0.05,SWKS
ICSUAGD,BLK ICS USD LIQ AGENCY DIS,0.01,ICSUAGD
MSIFT,CASH COLLATERAL USD MSIFT,0.01,MSIFT
