ticker,name,weight_percentage,raw_ticker
NVDA,NVIDIA CORP,7.53,NVDA
AAPL,APPLE INC,7.22,AAPL
MSFT,MICROSOFT CORP,6.19,MSFT
AMZN,AMAZON COM INC,3.87,AMZN
GOOGL,ALPHABET INC CLASS A,3.12,GOOGL
AVGO,BROADCOM INC,3.05,AVGO
GOOG,ALPHABET INC CLASS C,2.51,GOOG
META,META PLATFORMS INC CLASS A,2.39,META
TSLA,TESLA INC,2.05,TSLA
BRKB,BERKSHIRE HATHAWAY INC CLASS B,1.58,BRKB
JPM,JPMORGAN CHASE & CO,1.44,JPM
LLY,ELI LILLY,1.41,LLY
V,VISA INC CLASS A,0.95,V
JNJ,JOHNSON & JOHNSON,0.84,JNJ
WMT,WALMART INC,0.84,WMT
XOM,EXXON MOBIL CORP,0.83,XOM
NFLX,NETFLIX INC,0.79,NFLX
MA,MASTERCARD INC CLASS A,0.76,MA
COST,COSTCO WHOLESALE CORP,0.69,COST
ABBV,ABBVIE INC,0.67,ABBV
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,0.66,PLTR
ICSUAGD,BLK ICS USD LIQ AGENCY DIS,0.62,ICSUAGD
BAC,BANK OF AMERICA CORP,0.61,BAC
HD,HOME DEPOT INC,0.6,HD
AMD,ADVANCED MICRO DEVICES INC,0.59,AMD
PG,PROCTER & GAMBLE,0.58,PG
ORCL,ORACLE CORP,0.57,ORCL
GE,GE AEROSPACE,0.52,GE
CSCO,CISCO SYSTEMS INC,0.52,CSCO
UNH,UNITEDHEALTH GROUP INC,0.5,UNH
CVX,CHEVRON CORP,0.49,CVX
IBM,INTERNATIONAL BUSINESS MACHINES CO,0.48,IBM
WFC,WELLS FARGO,0.47,WFC
KO,COCA-COLA,0.46,KO
CAT,CATERPILLAR INC,0.46,CAT
MU,MICRON TECHNOLOGY INC,0.45,MU
MRK,MERCK & CO INC,0.43,MRK
GS,GOLDMAN SACHS GROUP INC,0.42,GS
PM,PHILIP MORRIS INTERNATIONAL INC,0.41,PM
RTX,RTX CORP,0.38,RTX
CRM,SALESFORCE INC,0.38,CRM
ABT,ABBOTT LABORATORIES,0.37,ABT
TMO,THERMO FISHER SCIENTIFIC INC,0.37,TMO
AMAT,APPLIED MATERIAL INC,0.37,AMAT
MCD,MCDONALDS CORP,0.36,MCD
MS,MORGAN STANLEY,0.35,MS
ISRG,INTUITIVE SURGICAL INC,0.35,ISRG
PEP,PEPSICO INC,0.35,PEP
LRCX,LAM RESEARCH CORP,0.34,LRCX
AXP,AMERICAN EXPRESS,0.33,AXP
LIN,LINDE PLC,0.33,LIN
INTC,INTEL CORPORATION CORP,0.32,INTC
C,CITIGROUP INC,0.32,C
DIS,WALT DISNEY,0.32,DIS
T,AT&T INC,0.31,T
QCOM,QUALCOMM INC,0.31,QCOM
UBER,UBER TECHNOLOGIES INC,0.31,UBER
AMGN,AMGEN INC,0.31,AMGN
INTU,INTUIT INC,0.3,INTU
APP,APPLOVIN CORP CLASS A,0.3,APP
NEE,NEXTERA ENERGY INC,0.3,NEE
EUR,EUR CASH,0.29,EUR
APH,AMPHENOL CORP CLASS A,0.29,APH
NOW,SERVICENOW INC,0.29,NOW
VZ,VERIZON COMMUNICATIONS INC,0.29,VZ
TJX,TJX INC,0.28,TJX
BKNG,BOOKING HOLDINGS INC,0.28,BKNG
GEV,GE VERNOVA INC,0.28,GEV
ACN,ACCENTURE PLC CLASS A,0.28,ACN
TXN,TEXAS INSTRUMENT INC,0.27,TXN
SCHW,CHARLES SCHWAB CORP,0.27,SCHW
KLAC,KLA CORP,0.27,KLAC
BA,BOEING,0.26,BA
GILD,GILEAD SCIENCES INC,0.26,GILD
SPGI,S&P GLOBAL INC,0.26,SPGI
BLK,BLACKROCK INC,0.25,BLK
BSX,BOSTON SCIENTIFIC CORP,0.25,BSX
DHR,DANAHER CORP,0.24,DHR
COF,CAPITAL ONE FINANCIAL CORP,0.24,COF
PFE,PFIZER INC,0.24,PFE
UNP,UNION PACIFIC CORP,0.24,UNP
WELL,WELLTOWER INC,0.23,WELL
ADBE,ADOBE INC,0.23,ADBE
LOW,LOWES COMPANIES INC,0.23,LOW
ADI,ANALOG DEVICES INC,0.23,ADI
PGR,PROGRESSIVE CORP,0.23,PGR
ANET,ARISTA NETWORKS INC,0.22,ANET
MDT,MEDTRONIC PLC,0.22,MDT
ETN,EATON PLC,0.22,ETN
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,0.22,CRWD
PANW,PALO ALTO NETWORKS INC,0.21,PANW
SYK,STRYKER CORP,0.21,SYK
HON,HONEYWELL INTERNATIONAL INC,0.21,HON
PLD,PROLOGIS REIT INC,0.2,PLD
DE,DEERE,0.2,DE
CEG,CONSTELLATION ENERGY CORP,0.19,CEG
COP,CONOCOPHILLIPS,0.19,COP
VRTX,VERTEX PHARMACEUTICALS INC,0.19,VRTX
BX,BLACKSTONE INC,0.19,BX
CB,CHUBB LTD,0.19,CB
PH,PARKER-HANNIFIN CORP,0.19,PH
ADP,AUTOMATIC DATA PROCESSING INC,0.18,ADP
MCK,MCKESSON CORP,0.18,MCK
TMUS,T MOBILE US INC,0.17,TMUS
CMCSA,COMCAST CORP CLASS A,0.17,CMCSA
CME,CME GROUP INC CLASS A,0.17,CME
NEM,NEWMONT,0.17,NEM
MO,ALTRIA GROUP INC,0.17,MO
CVS,CVS HEALTH CORP,0.17,CVS
BMY,BRISTOL MYERS SQUIBB,0.17,BMY
SO,SOUTHERN,0.17,SO
SBUX,STARBUCKS CORP,0.16,SBUX
HOOD,ROBINHOOD MARKETS INC CLASS A,0.16,HOOD
DUK,DUKE ENERGY CORP,0.16,DUK
LMT,LOCKHEED MARTIN CORP,0.16,LMT
MMM,3M,0.16,MMM
TT,TRANE TECHNOLOGIES PLC,0.16,TT
MMC,MARSH & MCLENNAN INC,0.15,MMC
ICE,INTERCONTINENTAL EXCHANGE INC,0.15,ICE
CDNS,CADENCE DESIGN SYSTEMS INC,0.15,CDNS
KKR,KKR AND CO INC,0.15,KKR
ORLY,OREILLY AUTOMOTIVE INC,0.14,ORLY
GD,GENERAL DYNAMICS CORP,0.14,GD
