ticker,name,weight_percentage,raw_ticker
NVDA,NVIDIA CORP,9.27,NVDA
AAPL,APPLE INC,8.93,AAPL
MSFT,MICROSOFT CORP,7.66,MSFT
AVGO,BROADCOM INC,6.24,AVGO
AMZN,AMAZON COM INC,5.26,AMZN
GOOGL,ALPHABET INC CLASS A,3.86,GOOGL
GOOG,ALPHABET INC CLASS C,3.61,GOOG
TSLA,TESLA INC,3.29,TSLA
META,META PLATFORMS INC CLASS A,2.95,META
NFLX,NETFLIX INC,2.4,NFLX
COST,COSTCO WHOLESALE CORP,2.12,COST
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,2.01,PLTR
AMD,ADVANCED MICRO DEVICES INC,1.81,AMD
CSCO,CISCO SYSTEMS INC,1.57,CSCO
MU,MICRON TECHNOLOGY INC,1.39,MU
TMUS,T MOBILE US INC,1.22,TMUS
AMAT,APPLIED MATERIAL INC,1.09,AMAT
PEP,PEPSICO INC,1.05,PEP
ISRG,INTUITIVE SURGICAL INC,1.05,ISRG
APP,APPLOVIN CORP CLASS A,1.04,APP
LRCX,LAM RESEARCH CORP,1.04,LRCX
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,0.99,SHOP
LIN,LINDE PLC,0.99,LIN
INTC,INTEL CORPORATION CORP,0.98,INTC
QCOM,QUALCOMM INC,0.95,QCOM
AMGN,AMGEN INC,0.94,AMGN
INTU,INTUIT INC,0.92,INTU
BKNG,BOOKING HOLDINGS INC,0.87,BKNG
TXN,TEXAS INSTRUMENT INC,0.82,TXN
KLAC,KLA CORP,0.81,KLAC
GILD,GILEAD SCIENCES INC,0.8,GILD
ADBE,ADOBE INC,0.71,ADBE
ADI,ANALOG DEVICES INC,0.7,ADI
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,0.67,CRWD
PANW,PALO ALTO NETWORKS INC,0.66,PANW
HON,HONEYWELL INTERNATIONAL INC,0.63,HON
CEG,CONSTELLATION ENERGY CORP,0.59,CEG
VRTX,VERTEX PHARMACEUTICALS INC,0.57,VRTX
MELI,MERCADOLIBRE INC,0.56,MELI
ADP,AUTOMATIC DATA PROCESSING INC,0.54,ADP
CMCSA,COMCAST CORP CLASS A,0.51,CMCSA
SBUX,STARBUCKS CORP,0.5,SBUX
ASML,ASML HOLDING ADR REPRESENTING NV,0.49,ASML
DASH,DOORDASH INC CLASS A,0.45,DASH
CDNS,CADENCE DESIGN SYSTEMS INC,0.45,CDNS
ORLY,OREILLY AUTOMOTIVE INC,0.44,ORLY
SNPS,SYNOPSYS INC,0.43,SNPS
MAR,MARRIOTT INTERNATIONAL INC CLASS A,0.42,MAR
PDD,PDD HOLDINGS ADS INC,0.41,PDD
MRVL,MARVELL TECHNOLOGY INC,0.41,MRVL
REGN,REGENERON PHARMACEUTICALS INC,0.4,REGN
CTAS,CINTAS CORP,0.39,CTAS
MNST,MONSTER BEVERAGE CORP,0.38,MNST
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,0.38,MDLZ
ADSK,AUTODESK INC,0.34,ADSK
CSX,CSX CORP,0.34,CSX
FTNT,FORTINET INC,0.33,FTNT
AEP,AMERICAN ELECTRIC POWER INC,0.33,AEP
WBD,WARNER BROS. DISCOVERY INC SERIES,0.32,WBD
PYPL,PAYPAL HOLDINGS INC,0.31,PYPL
TRI,THOMSON REUTERS CORP,0.31,TRI
IDXX,IDEXX LABORATORIES INC,0.3,IDXX
ROST,ROSS STORES INC,0.3,ROST
PCAR,PACCAR INC,0.29,PCAR
NXPI,NXP SEMICONDUCTORS NV,0.28,NXPI
AZN,ASTRAZENECA ADR REPRESENTING .5 PL,0.27,AZN
ABNB,AIRBNB INC CLASS A,0.27,ABNB
EA,ELECTRONIC ARTS INC,0.26,EA
DDOG,DATADOG INC CLASS A,0.26,DDOG
BKR,BAKER HUGHES CLASS A,0.25,BKR
MSTR,STRATEGY INC CLASS A,0.25,MSTR
ROP,ROPER TECHNOLOGIES INC,0.25,ROP
XEL,XCEL ENERGY INC,0.24,XEL
FAST,FASTENAL,0.24,FAST
WDAY,WORKDAY INC CLASS A,0.24,WDAY
FANG,DIAMONDBACK ENERGY INC,0.24,FANG
EXC,EXELON CORP,0.24,EXC
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0.23,TTWO
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,0.22,CCEP
AXON,AXON ENTERPRISE INC,0.22,AXON
PAYX,PAYCHEX INC,0.21,PAYX
KDP,KEURIG DR PEPPER INC,0.2,KDP
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,0.2,CTSH
CPRT,COPART INC,0.2,CPRT
ZS,ZSCALER INC,0.19,ZS
GEHC,GE HEALTHCARE TECHNOLOGIES INC,0.19,GEHC
VRSK,VERISK ANALYTICS INC,0.16,VRSK
MCHP,MICROCHIP TECHNOLOGY INC,0.16,MCHP
ODFL,OLD DOMINION FREIGHT LINE INC,0.15,ODFL
KHC,KRAFT HEINZ,0.15,KHC
CSGP,COSTAR GROUP INC,0.15,CSGP
USD,USD CASH,0.14,USD
CHTR,CHARTER COMMUNICATIONS INC CLASS A,0.14,CHTR
BIIB,BIOGEN INC,0.13,BIIB
TEAM,ATLASSIAN CORP CLASS A,0.13,TEAM
DXCM,DEXCOM INC,0.13,DXCM
LULU,LULULEMON ATHLETICA INC,0.11,LULU
ON,ON SEMICONDUCTOR CORP,0.11,ON
GFS,GLOBALFOUNDRIES INC,0.11,GFS
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,0.1,ARM
CDW,CDW CORP,0.1,CDW
TTD,TRADE DESK INC CLASS A,0.09,TTD
EUR,EUR CASH,0.01,EUR
MLIFT,CASH COLLATERAL USD MLIFT,0.01,MLIFT
