ticker,isin,name,weight_percentage,sector,country,currency
,NL0010273215,ASML HOLDING NV,2.896867534419778,Informationstechnologie,Niederlande,EUR
,GB0009895292,ASTRAZENECA GBP,2.0286262481998616,Gesundheitswesen,Großbritannien,GBP
,CH0012032048,ROCHE HOLDING AG - GENUSSS,1.9798372353386637,Gesundheitswesen,Schweiz,CHF
,CH0038863350,NESTLE SA-REG,1.8812312072966069,Basiskonsumgüter,Schweiz,CHF
,CH0012005267,NOVARTIS AG-REG,1.8031602909351814,Gesundheitswesen,Schweiz,CHF
,DE0007164600,SAP SE / XETRA,1.7775935524574908,Informationstechnologie,Deutschland,EUR
,GB0005405286,HSBC HOLDINGS PLC,1.7675370288255994,Finanzdienstleistungen,Großbritannien,GBP
,GB00BP6MXD84,SHELL PLC EUR,1.5966234763354958,Energie,Großbritannien,EUR
,DE0007236101,SIEMENS AG-REG,1.394038406578579,Industrie,Deutschland,EUR
,FR0000121014,LVMH MOET HENNESSY LOUIS VUI,1.3135774299913316,Nicht-Basiskonsumgüter,Frankreich,EUR
,DE0008404005,ALLIANZ SE-REG,1.1800390961531775,Finanzdienstleistungen,Deutschland,EUR
,DK0062498333,NOVO NORDISK A/S-B,1.1142391498022195,Gesundheitswesen,Dänemark,DKK
,FR0000121972,SCHNEIDER ELECT SE,1.1110516179472163,Industrie,Frankreich,EUR
,ES0113900J37,BANCO SANTANDER SA MADRID,1.1097070015246873,Finanzdienstleistungen,Spanien,EUR
,GB00B10RZP78,UNILEVER PLC LONDON,1.088661868671866,Basiskonsumgüter,Großbritannien,GBP
,NL0000235190,AIRBUS SE-BERLIN,1.0169557566729557,Industrie,Frankreich,EUR
,FR0000073272,SAFRAN SA,0.9523655819116701,Industrie,Frankreich,EUR
,ES0144580Y14,IBERDROLA SA,0.937074293102174,Versorger,Spanien,EUR
,GB00B63H8491,ROLLS-ROYCE HOLDINGS PLC,0.8788407323551595,Industrie,Großbritannien,GBP
,GB0002875804,BRITISH AMERICAN TOBACCO,0.8776812187173095,Basiskonsumgüter,Großbritannien,GBP
,CH0244767585,UBS GROUP AG,0.8731655379279418,Finanzdienstleistungen,Schweiz,CHF
,ES0113211835,BANCO BILBAO VIZCAYA ARGENTA,0.8619550866132846,Finanzdienstleistungen,Spanien,EUR
,FR0000120578,SANOFI - PARIS,0.8475623655193203,Gesundheitswesen,Frankreich,EUR
,FR0000121667,ESSILORLUXOTTICA,0.833107826751016,Gesundheitswesen,Frankreich,EUR
,IT0005239360,UNICREDIT SPA,0.8309983565824276,Finanzdienstleistungen,Italien,EUR
,DE0005557508,DEUTSCHE TELEKOM NAMEN (XETRA),0.8046977136271962,Kommunikationsdienstleistungen,Deutschland,EUR
,CH0210483332,CIE FINANCIERE RICHEMO-A REG,0.7999375224014775,Nicht-Basiskonsumgüter,Schweiz,CHF
,CH0012221716,ABB LTD-REG,0.7846745759671672,Industrie,Schweiz,CHF
,CH0011075394,ZURICH INSURANCE GROUP AG,0.750097558144428,Finanzdienstleistungen,Schweiz,CHF
,GB0007980591,BP PLC,0.7289365656198336,Energie,Großbritannien,GBP
,GB00BN7SWP63,GSK PLC,0.7030319060758665,Gesundheitswesen,Großbritannien,GBP
,IT0000072618,INTESA SANPAOLO,0.6906082884383794,Finanzdienstleistungen,Italien,EUR
,DE0007030009,RHEINMETALL ORD,0.6691388721591607,Industrie,Deutschland,EUR
,DE000ENER6Y0,SIEMENS ENERGY AG,0.6426837730241234,Industrie,Deutschland,EUR
,NL0013654783,PROSUS NV,0.6259947084981482,Nicht-Basiskonsumgüter,Niederlande,EUR
