ISIN,TR_Ticker,Yahoo_Ticker,Name,Provider,Asset_Class
AU0000066006,VUL,VM3.F,Vulcan Energy,,Stock
CA22587M1068,CL,6MH.F,Cresco Labs,,Stock
CA87320L1031,TAAT,2TP.F,TAAT Global,,Stock
DE0005493092,BVB,BVB.DE,BVB,,Stock
DE0007500001,TKA,TKA.DE,Thyssenkrupp,,Stock
DE0008404005,ALV,ALV.DE,Allianz,,Stock
DE000A0F5UF5,EXXT,EXXT.DE,iShares NASDAQ-100® ETF,iShares,ETF
DE000A161408,HFG,HFG.DE,HelloFresh,,Stock
DE000TKMS000,XXX,TKMS,TKMS AG + CO. KGAA O.N.,,Stock
FR0010361683,INR,INR.PA,Amundi MSCI India Swap,Amundi,ETF
IE000YYE6WK5,DFEN,DFEN.DE,VanEck Defense ETF A,VanEck,ETF
IE0031442068,IUSA,IUSA.MI,iShares Core S&P 500 ETF (Dist),iShares,ETF
IE00B3WJKG14,IUIT,IUIT.L,iShares S&P 500 Info Technolg Sctr ETF A,iShares,ETF
IE00B4L5Y983,IWDA,IWDA.AS,iShares Core MSCI World ETF,iShares,ETF
IE00B53SZB19,CSNDX,CSNDX.MI,iShares NASDAQ 100 ETF,iShares,ETF
IE00B5BMR087,CSPX,SXR8.DE,iShares Core S&P 500 ETF (Acc),iShares,ETF
IE00BL25JP72,XDEM,XDEM.DE,Xtrackers MSCI World Momentum ETF,Xtrackers,ETF
IE00BYVQ9F29,NQSE,NQSE.DE,iShares NASDAQ 100 ETF Hedged,iShares,ETF
KYG9830T1067,1810,1810.HK,Xiaomi,,Stock
LU0908500753,MEUD,LYP6.DE,Amundi Core Stoxx Europe 600,Amundi,ETF
US00287Y1091,ABBV,ABBV,AbbVie,,Stock
US0079031078,AMD,AMD,AMD,,Stock
US02079K3059,GOOGL,GOOGL,Alphabet,,Stock
US02079K1079,GOOG,GOOG,Alphabet,,Stock
US0231351067,AMZN,AMZN,Amazon,,Stock
US1667641005,CVX,CVX,Chevron,,Stock
US30303M1027,META,META,Meta Platforms,,Stock
US5949181045,MSFT,MSFT,Microsoft,,Stock
US67066G1040,NVDA,NVDA,Nvidia,,Stock
US69608A1088,PLTR,PLTR,Palantir Tech,,Stock
US88160R1014,TSLA,TSLA,Tesla,,Stock
DE0007030009,RHM,RHM.DE,Rheinmetall,,Stock
