ISIN,TR_Ticker,Yahoo_Ticker,Name,Provider,Asset_Class
AU0000066006,VUL,VM3.F,Vulcan Energy,,Stock
CA22587M1068,CL,6MH.F,Cresco Labs,,Stock
CA87320L1031,TAAT,2TP.F,TAAT Global,,Stock
DE0005493092,BVB,BVB.DE,BVB,,Stock
DE0007500001,TKA,TKA.DE,Thyssenkrupp,,Stock
DE0008404005,ALV,ALV.DE,Allianz,,Stock
DE000A0F5UF5,EXXT,EXXT.DE,iShares NASDAQ-100® ETF,iShares,ETF
DE000A161408,HFG,HFG.DE,HelloFresh,,Stock
DE000TKMS000,-,TKMS,TKMS AG + CO. KGAA O.N.,,Stock
FR0010361683,INR,INR.PA,Amundi MSCI India Swap,Amundi,ETF
IE000YYE6WK5,DFEN,DFEN.DE,VanEck Defense ETF A,VanEck,ETF
IE0031442068,IUSA,IUSA.MI,iShares Core S&P 500 ETF (Dist),iShares,ETF
IE00B3WJKG14,IUIT,IUIT.L,iShares S&P 500 Info Technolg Sctr ETF A,iShares,ETF
IE00B4L5Y983,IWDA,IWDA.AS,iShares Core MSCI World ETF,iShares,ETF
IE00B53SZB19,CSNDX,CSNDX.MI,iShares NASDAQ 100 ETF,iShares,ETF
IE00B5BMR087,CSPX,SXR8.DE,iShares Core S&P 500 ETF (Acc),iShares,ETF
IE00BL25JP72,XDEM,XDEM.DE,Xtrackers MSCI World Momentum ETF,Xtrackers,ETF
IE00BYVQ9F29,NQSE,NQSE.DE,iShares NASDAQ 100 ETF Hedged,iShares,ETF
KYG9830T1067,1810,1810.HK,Xiaomi,,Stock
LU0908500753,MEUD,LYP6.DE,Amundi Core Stoxx Europe 600,Amundi,ETF
US00287Y1091,ABBV,ABBV,AbbVie,,Stock
US0079031078,AMD,AMD,AMD,,Stock
US02079K3059,GOOGL,GOOGL,Alphabet,,Stock
US0231351067,AMZN,AMZN,Amazon,,Stock
US1667641005,CVX,CVX,Chevron,,Stock
US30303M1027,META,META,Meta Platforms,,Stock
US5949181045,MSFT,MSFT,Microsoft,,Stock
US67066G1040,NVDA,NVDA,Nvidia,,Stock
US69608A1088,PLTR,PLTR,Palantir Tech,,Stock
US88160R1014,TSLA,TSLA,Tesla,,Stock
DE0007030009,RHM,RHM.DE,Rheinmetall,,Stock
US0378331005,AAPL,AAPL,Apple Inc,,Stock
US5324571083,LLY,LLY,Eli Lilly and Co,,Stock
US46625H1005,JPM,JPM,JPMorgan Chase & Co,,Stock
US92826C8394,V,V,Visa Inc,,Stock
US4781601046,JNJ,JNJ,Johnson & Johnson,,Stock
US30231G1022,XOM,XOM,Exxon Mobil Corp,,Stock
US9311421039,WMT,WMT,Walmart Inc,,Stock
US57636Q1040,MA,MA,Mastercard Inc,,Stock
US22160K1051,COST,COST,Costco Wholesale Corp,,Stock
US0605051046,BAC,BAC,Bank of America Corp,,Stock
US7427181091,PG,PG,Procter & Gamble Co,,Stock
US68389X1054,ORCL,ORCL,Oracle Corp,,Stock
US3696041033,GE,GE,General Electric Co,,Stock
US17275R1023,CSCO,CSCO,Cisco Systems Inc,,Stock
US91324P1021,UNH,UNH,UnitedHealth Group Inc,,Stock
US1912161007,KO,KO,Coca-Cola Co,,Stock
US4592001014,IBM,IBM,International Business Machines Corp,,Stock
US9497461015,WFC,WFC,Wells Fargo & Co,,Stock
US1491231015,CAT,CAT,Caterpillar Inc,,Stock
US5951121038,MU,MU,Micron Technology Inc,,Stock
US38141G1040,GS,GS,Goldman Sachs Group Inc,,Stock
US7181721090,PM,PM,Philip Morris International Inc,,Stock
US8835561023,TMO,TMO,Thermo Fisher Scientific Inc,,Stock
US75513E1010,RTX,RTX,RTX Corp,,Stock
US79466L3024,CRM,CRM,Salesforce Inc,,Stock
US0028241000,ABT,ABT,Abbott Laboratories,,Stock
US5801351017,MCD,MCD,McDonald's Corp,,Stock
US46120E6023,ISRG,ISRG,Intuitive Surgical Inc,,Stock
US0258161092,AXP,AXP,American Express Co,,Stock
US7134481081,PEP,PEP,PepsiCo Inc,,Stock
US6174464486,MS,MS,Morgan Stanley,,Stock
US5128071082,LRCX,LRCX,Lam Research Corp,,Stock
IE00BZ12WP82,LIN,LIN,Linde PLC,,Stock
US1729674242,C,C,Citigroup Inc,,Stock
US2546871060,DIS,DIS,Walt Disney Co,,Stock
US00206R1023,T,T,AT&T Inc,,Stock
US0311621009,AMGN,AMGN,Amgen Inc,,Stock
US4612021034,INTU,INTU,Intuit Inc,,Stock
US7475251036,QCOM,QCOM,Qualcomm Inc,,Stock
US81762P1021,NOW,NOW,ServiceNow Inc,,Stock
