ISIN,Quantity,AvgCost,CurrentPrice,NetValue,TR_Name
DE000A0F5UF5,7.180977,164.4581,213.4501,1532.78,NASDAQ100 USD (Dist)
FR0010361683,6.004505,28.9782,27.6942,166.29,MSCI India Swap EUR (Acc)
IE00B53SZB19,4.575881,941.6525,1258.5992,5759.20,NASDAQ100 USD (Acc)
US02079K3059,4.26065,154.8989,275.4509,1173.60,Alphabet (A)
DE000A161408,39.0,9.3069,6.0721,236.81,HelloFresh
CA22587M1068,33.4114,6.815,0.6591,22.02,Cresco Labs
KYG9830T1067,30.0,5.4627,4.6010,138.03,Xiaomi
US1667641005,3.415941,112.9264,129.9408,443.87,Chevron
IE0031442068,28.061404,46.8972,58.5901,1644.12,Core S&P 500 USD (Dist)
IE00B3WJKG14,257.53566,27.6267,36.1250,9303.48,S&P 500 Information Tech USD (Acc)
AU0000066086,20.0,2.996,2.5100,50.20,Vulcan Energy Resources
DE0007500001,20.0,11.3215,9.0000,180.00,ThyssenKrupp
LU0908500753,2.321647,258.4372,278.5006,646.58,Core Stoxx Europe 600 EUR (Acc)
US00287Y1091,2.205286,121.5171,197.1989,434.88,AbbVie
CA87320M2004,2.2,13.6273,0.0909,0.20,TAAT Global Alternatives
US0231351067,2.185744,114.3684,199.3783,435.79,Amazon.com
XF000BTC0017,2.06E-4,77232.0777,79320.3883,16.34,Bitcoin
IE00BL25JP72,14.791548,60.1425,69.1699,1023.13,MSCI World Momentum USD (Acc)
IE00B4L5Y983,120.291908,86.2243,111.2900,13387.29,Core MSCI World USD (Acc)
IE00BYVQ9F29,102.537058,8.7974,15.0820,1546.46,NASDAQ100 EUR (Acc)
US67066G1040,10.376354,120.8854,154.4001,1602.11,NVIDIA
DE0005493092,10.0,5.018,3.3000,33.00,Borussia Dortmund
US5949181045,1.559426,341.3948,410.9525,640.85,Microsoft
US0079031078,1.533533,163.0222,186.0410,285.30,AMD
IE00B5BMR087,1.348018,508.8879,629.1014,848.04,Core S&P 500 USD (Acc)
DE000TKMS001,1.0,11.32,64.0000,64.00,TKMS AG & Co. KGaA Inhaber-Aktien o.N.
US88160R1014,0.255332,352.4823,384.9106,98.28,Tesla
US69608A1088,0.250666,159.5749,150.5988,37.75,Palantir Technologies
US30303M1027,0.229443,370.4624,551.9889,126.65,Meta Platforms (A)
DE0008404005,0.163701,248.0003,366.8273,60.05,Allianz
